section,metric,value,extra
exam,exam_name,demo_exam,
exam,class_name,,
exam,subject,,
exam,exam_date,2026-05-22,
score,student_count,3,
score,max_score,4.0,
score,average,2.33,
score,median,2.0,
score,highest,3.0,
score,lowest,2.0,
score,pass_rate,33.33,percent >= 60
score,excellent_rate,0.0,percent >= 90
knowledge,function_concept,66.67,weak_students=2
knowledge,geometry_area,33.33,weak_students=2
knowledge,linear_equation,66.67,weak_students=1
item,Q1,66.67,tags=linear_equation
item,Q2,33.33,tags=function_concept
item,Q3,33.33,tags=geometry_area
