question,question_id,difficulty,tags,answer,points,accuracy,blank_rate,invalid_rate,option_distribution
1,,2,集合运算,A,5.0,50.0,0.0,0.0,"{""A"": 1, ""B"": 1}"
2,,3,函数概念,B,5.0,100.0,0.0,0.0,"{""B"": 2}"
3,,1,三角函数,C,5.0,100.0,0.0,0.0,"{""C"": 2}"
4,,2,数列基础,D,5.0,50.0,0.0,0.0,"{""D"": 1, ""A"": 1}"
5,,3,不等式,A,5.0,100.0,0.0,0.0,"{""A"": 2}"
6,,1,解析几何,B,5.0,50.0,0.0,0.0,"{""B"": 1, ""C"": 1}"
7,,2,概率统计,C,5.0,100.0,0.0,0.0,"{""C"": 2}"
8,,3,向量,D,5.0,100.0,0.0,0.0,"{""D"": 2}"
9,,3,函数性质,AC,5.0,50.0,0.0,0.0,"{""AC"": 1, ""A"": 1}"
10,,3,导数基础,BD,5.0,100.0,0.0,0.0,"{""BD"": 2}"
11,,2,计算能力,2,5.0,100.0,0.0,0.0,"{""2"": 2}"
12,,2,方程求解,4,5.0,50.0,50.0,0.0,"{""4"": 1, ""(blank)"": 1}"
