section,metric,value,extra
exam,exam_name,测试考试,
exam,class_name,高二3班,
exam,subject,数学,
exam,exam_date,2026-05-22,
score,student_count,3,
score,max_score,4.0,
score,average,1.33,
score,median,1.0,
score,highest,3.0,
score,lowest,0.0,
score,pass_rate,33.33,percent >= 60
score,excellent_rate,0.0,percent >= 90
knowledge,function_concept,16.67,weak_students=3
knowledge,geometry_area,33.33,weak_students=2
knowledge,linear_equation,66.67,weak_students=1
item,Q1,66.67,tags=linear_equation
item,Q2,0.0,tags=function_concept
item,Q3,33.33,tags=geometry_area
